Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Mrpl53	Mrpl53	401.480914752449	0.387951173221036	0.124458020436739	3.11712472896216	0.00182624288459181	0.0326735069987405
Dctpp1	Dctpp1	2492.52916298763	0.386464725795445	0.0920400552110639	4.19887542341445	2.68243835684743e-05	0.00160263498920012
Ndufab1	Ndufab1	1269.81053282165	0.385351802992399	0.101466347925991	3.79782864830687	0.000145969170722653	0.00577897222885106
Txn1	Txn1	1458.44045365452	0.385018053604471	0.101493583779205	3.79352111993662	0.000148525991631412	0.00583334352789824
0910001L09Rik	0910001L09Rik	292.261701294405	0.384408117736974	0.133200729508462	2.88593102421824	0.00390257676016691	0.0530642782092764
Dohh	Dohh	877.665998901634	0.384403637798214	0.11855981727311	3.24227589616401	0.00118579166988352	0.0246095458562353
Rps8	Rps8	4179.22510253877	0.384207602918861	0.082109624604453	4.67920301389399	2.87992179387785e-06	0.000274088898125814
Mrpl21	Mrpl21	439.685248715347	0.384069780282493	0.125708182476345	3.05524885267324	0.00224873851210653	0.0371324359335781
Glrx5	Glrx5	1816.04468129656	0.384002587996002	0.0895084688424906	4.29012576085663	1.78571967563816e-05	0.0011817390697426
Ssna1	Ssna1	1552.36938574673	0.383813714462833	0.0947689151101363	4.04999586643766	5.12185376605377e-05	0.00258715473917525
Chmp2a	Chmp2a	370.03755846618	0.382902967207104	0.128341740066564	2.983464046915	0.00285005517869421	0.0435728161037107
2310036O22Rik	2310036O22Rik	2838.36724962287	0.381937335807586	0.0750597768555856	5.08844219644337	3.61016784060767e-07	5.23368155481036e-05
Hmgb3	Hmgb3	2783.77699318579	0.381601415653298	0.0827684035597075	4.61047210337962	4.01755552547765e-06	0.000338504806582553
Rps15	Rps15	5730.11321188595	0.381181330815184	0.0792681404085198	4.80875833406348	1.51870672775877e-06	0.00016452099914556
Aldh2	Aldh2	1424.70799040953	0.381111956637357	0.0942213483867721	4.04485780730837	5.23548909347731e-05	0.00261987063368017
Commd1	Commd1	1324.2213399489	0.380839720862511	0.103954798632828	3.66351266003266	0.00024877991415768	0.00848606364625055
